annee;insee;commune;dep;distinction;mention;adresse01;adresse02;adresse03;adresse04_cpostal;adresse05_commune;url;geo_point;image_label;latitude;longitude
2021;75117;Paris - 17e arrondissement;75.0;1 patte;;Hôtel de ville;16 rue des Batignolles;;75017.0;Paris;http://www.mairie17.paris.fr;48.8842656,2.3222315;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.8842656;2.3222315
2021;78362;Livry-Gargan;93.0;1 patte;;Hôtel de ville;3 place François-Mitterrand;;93190.0;Livry-Gargan;http://www.livry-gargan.fr;48.9194246,2.5373755;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.9194246;2.5373755
2021;78548;Saint-Denis;93.0;1 patte;;Hôtel de ville;2 place du Caquet;;93200.0;Saint-Denis;http://www.ville-saint-denis.fr;48.9369697571,2.35975599289;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.9369697571;2.35975599289
2021;78640;Bonneuil-sur-Marne;94.0;1 patte;;Hôtel de ville;7 rue d'Estienne-d'Orves;CS 70027;94380.0;Bonneuil-sur-Marne Cedex;http://www.ville-bonneuil.fr;48.7683944702,2.48810005188;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.7683944702;2.48810005188
2021;78643;Champigny-sur-Marne;94.0;1 patte;;Hôtel de ville;14 rue Louis-Talamoni;;94500.0;Champigny-sur-Marne;http://www.champigny94.fr;48.8135986328,2.51107001305;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.8135986328;2.51107001305
2021;91421;Conflans-Sainte-Honorine;78.0;2 pattes;;Hôtel de ville;63 rue Maurice-Berteaux;BP 350;78703.0;Conflans-Sainte-Honorine;http://www.conflans-sainte-honorine.fr;49.000275,2.09554600716;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;49.000275;2.09554600716
2021;91514;Bièvres;91.0;2 pattes;;Hôtel de ville;Place de la Mairie;;91570.0;Bièvres;http://www.bievres.fr;48.7544392,2.2152085;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.7544392;2.2152085
2021;92063;Dammarie-lès-Lys;77.0;3 pattes;félicitations;Hôtel de ville;26 rue Charles-de-Gaulle;BP 24;77190.0;Dammarie-les-Lys;http://www.mairie-dammarie-les-lys.fr/;48.514793396,2.63442397118;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux3Pattes.png;48.514793396;2.63442397118
2021;93048;Pringy;77.0;Encouragement du jury;;Hôtel de ville;1 bis rue des Écoles;;77310.0;Pringy;http://pringy77.site/;48.5228996277,2.55963993073;;48.5228996277;2.55963993073
2021;94071;La Garenne-Colombes;92.0;Encouragement du jury;;Hôtel de ville;68 boulevard de la République;;92250.0;La Garenne-Colombes;http://www.lagarennecolombes.fr;48.9067001343,2.24523997307;;48.9067001343;2.24523997307
2021;91099;Limeil-Brévannes;94.0;1 patte;;Hôtel de ville;2 place Charles-de-Gaulle;CS 20001;94450.0;Limeil-Brévannes Cedex;http://www.limeil-brevannes.fr;48.7493782043,2.48094892502;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.7493782043;2.48094892502
2021;91432;Louveciennes;78.0;2 pattes;;Hôtel de ville;30 rue du Général-Leclerc;;78430.0;Louveciennes;http://www.mairie-louveciennes.fr;48.8610572815,2.1149289608;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.8610572815;2.1149289608
2021;93046;Magny-le-Hongre;77.0;Encouragement du jury;;Hôtel de ville;21 rue du Moulin-à-Vent;;77700.0;Magny-le-Hongre;https://www.magnylehongre.fr/;48.8666189,2.8111027;;48.8666189;2.8111027
2021;94019;Fleury-Mérogis;91.0;Encouragement du jury;;Hôtel de ville;12 rue Roger-Clavier;BP 107;91700.0;Fleury-Mérogis;http://www.mairie-fleury-merogis.fr;48.630742,2.36675;;48.630742;2.36675
